geneSymbol logFC P.Value adj.P.Val
Gsg2 1.71746469935683 8.3150721495942e-12 1.73140762424927e-09
Dnajc12 2.60957821754817 8.37651193593388e-12 1.73140762424927e-09
Kif20a 4.1305571823362 8.49505611897771e-12 1.73140762424927e-09
Tgm2 2.01908623473828 8.66154864240424e-12 1.73591870708185e-09
Pros1 1.50481512590752 9.55768467638042e-12 1.88411734808975e-09
Itga5 1.97979978905011 1.22199320420064e-11 2.37007552911494e-09
Ppap2c 1.78575429186699 1.28380504453219e-11 2.4504374064285e-09
Tmem176a 1.25366871891923 1.3441994487792e-11 2.50566979271571e-09
Mad2l1 3.37829033378742 1.35441610417065e-11 2.50566979271571e-09
Ttk 2.9394495723901 1.38832039779092e-11 2.52947769445996e-09
Saa1 6.08583470138701 1.43592825464628e-11 2.57716974061515e-09
Dlgap5 2.56995073591197 1.57088684362158e-11 2.77792857272787e-09
Pbk 4.24549398755454 1.63174720251785e-11 2.84373334931553e-09
Isyna1 4.4648900449555 1.68885694252519e-11 2.86394103615688e-09
Zwilch 2.30268372175621 1.71763265560893e-11 2.86394103615688e-09
C330027C09Rik 2.81306172480654 1.74758089795779e-11 2.86394103615688e-09
Serpina3n 3.62109052280598 1.78294110719516e-11 2.86394103615688e-09
Orm2 4.72760341317543 1.79998932736471e-11 2.86394103615688e-09
Kif2c 2.99702579515878 1.8073288212317e-11 2.86394103615688e-09
D2Ertd750e 3.42135615599762 1.81005836796609e-11 2.86394103615688e-09
Aurkb 3.39393361961925 1.86883848973402e-11 2.91854322585086e-09
Ucp2 2.15915633110081 1.95329128368046e-11 3.01132406234071e-09
Map4k4 2.52686957835976 1.98993112760447e-11 3.0164490671582e-09
Kif20b 2.52099972146323 2.00678524218425e-11 3.0164490671582e-09
Tmem48 2.04082611650681 2.06383383087686e-11 3.06390145880176e-09
Galns 1.35633328884596 2.35351534693073e-11 3.44235659925736e-09
Cenpt 2.04319634615321 2.39358670587356e-11 3.44235659925736e-09
Cenpa 3.27711074860292 2.40463995291159e-11 3.44235659925736e-09
Ncapd2 2.86095396350656 2.49160407163916e-11 3.52488693664245e-09
Cdca8 2.51150679175127 2.62506417687573e-11 3.67051124731752e-09
Spc25 3.30080585964778 2.85938287903091e-11 3.93596532024807e-09
Cdc20 5.40051280602612 2.88037378945389e-11 3.93596532024807e-09
Chaf1a 2.09647608550843 2.93144658266515e-11 3.94270892902174e-09
Gm12428 1.59062122558602 2.96889600693841e-11 3.94270892902174e-09
Gtse1 2.92847090345008 2.9836716219624e-11 3.94270892902174e-09
Lmnb2 1.05847841835322 3.02695123791187e-11 3.95642267781415e-09
Hp 2.66082171817793 3.17302517471734e-11 4.10275566945979e-09
Ncapg 2.32987431468484 3.34831143209979e-11 4.28334520968085e-09
Spag5 2.19587285853037 3.51890127724855e-11 4.45418819567514e-09
Ckap2 3.91275098812703 3.73809887713994e-11 4.68235822891747e-09
Prr11 2.64471047321419 3.8246853445195e-11 4.72134803060819e-09
Fancb 1.51568677253866 3.84988275251506e-11 4.72134803060819e-09
Trip13 1.76442418156782 3.8901416003901e-11 4.72134803060819e-09
Fam83d 2.35361066946825 3.92627694853072e-11 4.72134803060819e-09
Dbf4 2.32392107003066 4.12649614479859e-11 4.91298179615872e-09
Rad54b 1.45407564911892 4.20413950016148e-11 4.95635073425900e-09
Ect2 3.9159527292386 4.25693820198026e-11 4.96987202706919e-09
Shcbp1 3.4085867001247 4.59613100709266e-11 5.31427647695089e-09
Itih3 2.23411820369094 4.81071978642094e-11 5.50941956492494e-09
Gins2 1.82497949177545 5.02323645898461e-11 5.69853003955565e-09
Ncaph 2.49845462269786 5.07722787551617e-11 5.70595001897962e-09
Cdca5 2.58898482621686 5.35834817806362e-11 5.96612378159398e-09
Cenpl 1.14036351871078 5.59647411478397e-11 6.17409185598874e-09
BC030867 1.37214810034012 6.05993297422741e-11 6.62460854682587e-09
Cenpi 1.68952547850939 6.20999265123675e-11 6.72749203883981e-09
Casc5 1.84634808073044 6.29524114003189e-11 6.75895309900745e-09
Sucnr1 -3.24298524383036 6.42560962547843e-11 6.81239281332444e-09
Cdkn2c 2.60211952630431 6.45831834277744e-11 6.81239281332444e-09
Cenpm 2.71104953784899 6.58876222483727e-11 6.88955354379723e-09
Kif18b 2.34120335120982 6.72921515388486e-11 6.97575967460909e-09
4930579G24Rik 2.22459537412595 6.854133632948e-11 7.04452623386322e-09
Vars 1.74355580158254 6.94172659597763e-11 7.07409002683314e-09
Iqgap3 2.87451099026371 7.32310373592294e-11 7.40002709449356e-09
Anapc5 0.92940186767646 8.60413286346846e-11 8.62205814026736e-09
Ccne1 1.40575784985977 8.7889104150958e-11 8.73443369764686e-09
Cenpe 2.62929364057189 8.99345239760778e-11 8.86444795747816e-09
Tbl2 1.40213954398928 9.13335044056226e-11 8.92914951607815e-09
Oip5 2.41950038416843 9.32790776155672e-11 9.04581377683222e-09
Bub1 2.19724692780229 9.597711415524e-11 9.23299838173409e-09
