geneSymbol logFC P.Value adj.P.Val
Lcn2 7.45292352428772 8.94329805241906e-16 1.07543159080339e-11
Wee1 2.82846338815914 3.79236573429688e-15 2.280159897746e-11
Gm4956 -4.08509311587112 9.28928446518165e-15 3.72345485646031e-11
Car3 -5.39432592462007 1.67195023324806e-14 5.02630038870197e-11
Arntl -2.75846952502508 2.16358937317947e-14 5.20343244249662e-11
Fgl1 3.41788684722313 3.74087554414337e-14 7.49733806972068e-11
Slc5a6 1.72596221358945 1.02544944548228e-13 1.76157565456064e-10
Per2 2.29337787046126 1.53169546208179e-13 2.30232974144169e-10
Car1 -2.05081309629968 2.29962241419266e-13 3.07255105896297e-10
Syt12 1.97197581841899 5.67261312609233e-13 6.82131728412603e-10
Hsd3b5 -5.94189861267283 1.29622942806002e-12 1.41701444294743e-09
Pnrc1 -2.34878143725495 1.68789419739496e-12 1.69141064363953e-09
Ypel2 -2.12849888623437 2.16515851424447e-12 1.89049539118871e-09
Npas2 -1.59034138225704 2.2009925552301e-12 1.89049539118871e-09
Tmed5 1.59785159720411 2.4462515977357e-12 1.96107836418479e-09
Fam102a 1.78095528363955 3.09391689054466e-12 2.32527191304997e-09
Mup-ps8 -1.74702171228793 3.45488247524067e-12 2.44382128028053e-09
Pros1 1.67466946733989 3.95807428796583e-12 2.64421351737717e-09
Serpina3n 3.24453691870103 4.27129788866141e-12 2.70328195321861e-09
Itih3 2.1912329836202 4.76337061279901e-12 2.7881233449375e-09
Tspan4 1.92518432269123 4.86907195373701e-12 2.7881233449375e-09
Gm13773 -2.54649935314345 5.34906925306453e-12 2.92375262582277e-09
Ces1e -2.48901471678107 6.50254066375629e-12 3.39969789050737e-09
Elovl3 -5.78130455817079 8.07436491087448e-12 3.97937436238750e-09
Ccdc120 1.35076046658587 8.35599994304262e-12 3.97937436238750e-09
Cdc25a 1.77145469270847 8.60405267543242e-12 3.97937436238750e-09
Per3 1.43828761879322 9.74126358025855e-12 4.33847016861515e-09
Adck3 -4.14067679217517 1.03228044259443e-11 4.43327582935644e-09
Uhrf1 4.06592742221709 1.12051495875462e-11 4.61540423614471e-09
Acot3 3.43185353081487 1.15145220028558e-11 4.61540423614471e-09
Qdpr -1.46177863701535 1.6536264986275e-11 6.41447053096636e-09
Slc22a5 1.89803470023381 1.82953738659115e-11 6.62538996907309e-09
Asf1b 2.43675857838585 1.84863916693553e-11 6.62538996907309e-09
E130012A19Rik 1.26283520907408 1.8733969636899e-11 6.62538996907309e-09
Caskin2 1.72589331738227 1.92838793278635e-11 6.62538996907309e-09
Mcm6 4.04789173408931 1.9965692359775e-11 6.66909585073038e-09
C330027C09Rik 1.74975972776977 2.15068389919616e-11 6.98972267238754e-09
Plk4 1.66399106526719 2.6582916255667e-11 8.22322713726719e-09
Hsd11b1 -1.66936990953402 2.70279926407534e-11 8.22322713726719e-09
Sco2 -1.92115863474839 2.73537701031757e-11 8.22322713726719e-09
