geneSymbol logFC P.Value adj.P.Val
Lcn2 8.02403901959707 4.98800620035567e-16 5.99807745592769e-12
Gm4956 -4.15432730867949 1.64890949905308e-13 6.9400343873047e-10
Saa2 8.36628809155626 1.73140151034629e-13 6.9400343873047e-10
Cdkn3 3.49741557684789 1.11891405048904e-12 3.36373536428267e-09
Isyna1 4.43415561184719 1.45811662319368e-12 3.39286114137076e-09
Prtn3 4.32998976143259 1.69290368800204e-12 3.39286114137076e-09
Car3 -4.92221787524293 1.9818595974314e-12 3.40455166558751e-09
Elovl3 -6.50702591073546 2.60892520615954e-12 3.92154070050856e-09
Hp 2.97584560910874 4.22405631196438e-12 5.64380857237462e-09
Kif20a 3.92706062951803 6.02795020512239e-12 7.24861012165968e-09
D2Ertd750e 2.88626518271134 6.95796226171133e-12 7.60631783609806e-09
Ccnb2 4.46427669419787 7.85889240951752e-12 7.82860516249981e-09
Ccnb1 3.72397375628056 8.46335693243223e-12 7.82860516249981e-09
Aurka 4.21963420913774 1.00997460927037e-11 8.67496048319727e-09
Mup-ps8 -1.91575760518799 1.16062214744223e-11 8.6972698536696e-09
Ube2c 4.58658869673548 1.17887801484816e-11 8.6972698536696e-09
Tpx2 3.90563462894756 1.36255139600599e-11 8.6972698536696e-09
Orm2 4.90049880028189 1.37329827974723e-11 8.6972698536696e-09
E130306D19Rik 2.55580674131519 1.37420480016401e-11 8.6972698536696e-09
Cdca3 4.51273273758208 1.79690316357982e-11 1.08038802710237e-08
Plk1 4.47394743011596 1.90103890595226e-11 1.08857108781314e-08
Ifi27l2b 2.24559933484717 2.01430483754183e-11 1.1010007123382e-08
Birc5 3.82950931428166 2.23185425983923e-11 1.16687162932899e-08
Hpx 2.67103925395272 2.36576007021286e-11 1.1853443685129e-08
Uhrf1 2.48033622889622 2.84344087441466e-11 1.36769506059345e-08
Tacc3 3.70703930792147 3.10815046644704e-11 1.38268515884779e-08
Flot1 1.78255854053965 3.16282389822803e-11 1.38268515884779e-08
Tspan4 1.88903298529538 3.21955795823186e-11 1.38268515884779e-08
Lig1 2.65438852051627 3.46529100904528e-11 1.43690084081964e-08
Ccna2 4.28369092809828 3.68380331136251e-11 1.47659116063781e-08
Fam83d 2.34407343542222 4.179543930486e-11 1.62125857303529e-08
Fgl1 3.67057904739023 4.64087591707508e-11 1.64784747334882e-08
Syt12 2.41376662527613 4.74832546249681e-11 1.64784747334882e-08
Tubb6 4.38690316665844 4.7947988564751e-11 1.64784747334882e-08
Prg4 3.10432313154291 4.92645016055477e-11 1.64784747334882e-08
Cenpm 3.11898880453653 4.93326478507755e-11 1.64784747334882e-08
Itih3 2.29682111396387 5.0703549943775e-11 1.64786537317269e-08
Diap3 2.58448458158141 5.91158347091359e-11 1.870705032572e-08
Ckap2l 4.31037832156813 6.26148320535903e-11 1.92939091992691e-08
Gm10184 2.40006760288597 6.45638363393838e-11 1.92939091992691e-08
Anln 3.28077210685746 6.71191216381006e-11 1.92939091992691e-08
Prc1 3.44921711893869 6.86568549891575e-11 1.92939091992691e-08
Ckap2 4.00282466335784 6.95944958874699e-11 1.92939091992691e-08
Saa1 6.91784160934385 7.05972561137497e-11 1.92939091992691e-08
Gm10259 2.39905935333526 7.3337662168788e-11 1.95974530573261e-08
Kifc1 3.065112792066 7.9977376034984e-11 2.04436152670179e-08
Cdk1 4.55618438734292 8.09874326463501e-11 2.04436152670179e-08
Cenpw 1.94721604956786 8.16044517935017e-11 2.04436152670179e-08
Gm5593 1.97303610768912 8.62780499690724e-11 2.05274545833195e-08
Chtf18 1.38723866723806 8.65013808786104e-11 2.05274545833195e-08
Ces1e -2.64885947781822 8.70603063408978e-11 2.05274545833195e-08
Kif22 3.94442095678342 1.01816347176594e-10 2.32704507570622e-08
Car1 -2.15799536735042 1.02564148866885e-10 2.32704507570622e-08
Mup-ps7 -1.51336070544138 1.06628452116664e-10 2.36358122712654e-08
Cyb561 2.55751611776864 1.08940997019441e-10 2.36358122712654e-08
Cdkn2c 2.93268954852664 1.10071142385935e-10 2.36358122712654e-08
Mcm7 2.1936639720094 1.12157029614257e-10 2.36611979142359e-08
Nek2 3.5812485214023 1.27614457060954e-10 2.64579973475511e-08
Iqgap3 3.21232931949498 1.34819954328625e-10 2.74781347593511e-08
Hmmr 3.77352081695692 1.42493450844457e-10 2.85580624400766e-08
Ncaph 2.89342968996474 1.47532592052891e-10 2.89916561656743e-08
Kpna2 2.61227839676232 1.51039209769346e-10 2.89916561656743e-08
Caskin2 1.90694968671001 1.51889757874219e-10 2.89916561656743e-08
Mcm3 2.73989690133264 1.68671638960768e-10 3.09707808763289e-08
Orm1 2.62201296826932 1.69663607800358e-10 3.09707808763289e-08
Mcm4 2.25845541191868 1.69985159071743e-10 3.09707808763289e-08
Gtse1 3.28282195253642 1.7407866224635e-10 3.12178921012426e-08
Steap4 4.10351592476029 1.79005133272185e-10 3.12178921012426e-08
Itih4 2.4251701600017 1.79129692722307e-10 3.12178921012426e-08
Gins1 1.77984711542699 1.83609446851474e-10 3.15414799769853e-08
Foxm1 3.27969352243166 1.89190217040111e-10 3.20424276043287e-08
Gm12715 2.61096333115127 1.96451446622608e-10 3.22321600677497e-08
C330027C09Rik 2.55405099973324 1.98620843068184e-10 3.22321600677497e-08
D17H6S56E-5 7.06632987537783 1.99334561326764e-10 3.22321600677497e-08
Mxd3 2.53656261739985 2.02395752836734e-10 3.22321600677497e-08
Mcm2 2.68358034105735 2.03712612486401e-10 3.22321600677497e-08
Neurl1b 3.1702788187306 2.09168985006891e-10 3.24852394173347e-08
Oip5 2.70495164979032 2.1071506649082e-10 3.24852394173347e-08
Actg1 2.63362427552736 2.37317938889334e-10 3.60792333417231e-08
Ncapd2 3.13389038545758 2.40028163603979e-10 3.60792333417231e-08
Gm12856 1.37745632384622 2.48864806362982e-10 3.66238783814753e-08
Ttk 3.10396774075385 2.49900491608072e-10 3.66238783814753e-08
Cenpp 2.3925244990999 2.52788516063405e-10 3.66238783814753e-08
Dbf4 2.21102146347782 2.59074199811036e-10 3.70877053896155e-08
Ccne1 2.17457000263214 2.84705874224931e-10 4.00323454541122e-08
Ugt2b1 -2.22263197712576 2.86302013226915e-10 4.00323454541122e-08
Cdc20 5.18854646949014 2.93887823937866e-10 4.02334503791215e-08
Gm14276 1.79794337941691 2.94999713270068e-10 4.02334503791215e-08
Cenpf 2.34056103803708 2.97777720061689e-10 4.02334503791215e-08
Chaf1b 1.79493006556498 3.03307652391662e-10 4.05130941686585e-08
Pbk 4.7778627285328 3.06585577492551e-10 4.05130941686585e-08
2810007J24Rik -3.00648349968297 3.11272427652299e-10 4.06853363317271e-08
Cenpa 2.89892179490948 3.14849667332862e-10 4.07104005341685e-08
Nusap1 3.60377792592686 3.21880776282675e-10 4.08322571609894e-08
Racgap1 3.11959643613508 3.22583320606569e-10 4.08322571609894e-08
Incenp 3.45428929173525 3.28329189884423e-10 4.11266511287519e-08
Aurkb 3.8149255943665 3.35981009677006e-10 4.1651254034701e-08
Cp 1.35778188314417 3.58759089564976e-10 4.40190275154381e-08
Cenpt 2.38222369932731 3.65822960511673e-10 4.40190275154381e-08
Pkmyt1 3.16818461939724 3.66062598880982e-10 4.40190275154381e-08
Pcna 2.23313945750903 3.71924692568186e-10 4.42811329518063e-08
Dnajc12 2.62374463717705 3.77010506006436e-10 4.4399557766744e-08
9530077C05Rik 1.96755373764605 3.80303904363795e-10 4.4399557766744e-08
Kif2c 2.95260763362463 3.84602618022884e-10 4.4469677708896e-08
Cenph 2.13812213688501 3.92992631389625e-10 4.50070132615261e-08
Alpk1 1.50176968787162 3.99360037670312e-10 4.53047589904292e-08
Mki67 4.40748816869338 4.09799774685492e-10 4.6054600846664e-08
2700094K13Rik 2.8583297868246 4.15109734541962e-10 4.6219394054325e-08
Nrm 2.43203581326395 4.19468164814605e-10 4.62761897421617e-08
E2f1 1.90577798531764 4.47286171435473e-10 4.88965110137414e-08
Pif1 1.78787645238374 4.52120742949836e-10 4.89797471528989e-08
Ttc39a 1.22232088739994 4.6506569153412e-10 4.96086786077071e-08
Mad2l1 3.45788942701297 4.661771877481e-10 4.96086786077071e-08
Chek2 1.85869526759819 4.88245104769228e-10 5.15012928495611e-08
Tgm2 2.30140126153489 5.17687686425627e-10 5.41321254718971e-08
H2afz 2.07758940449462 5.32917072829875e-10 5.45022033705213e-08
Itga5 2.06510584494951 5.34441514086904e-10 5.45022033705213e-08
Chaf1a 2.67889940554752 5.34824116234638e-10 5.45022033705213e-08
Shcbp1 3.65356078622504 5.41689004135195e-10 5.47379014682834e-08
Mybl1 3.04634412152822 5.52265043203076e-10 5.53415595376416e-08
Rrm1 2.96349764083214 5.75402896057576e-10 5.71453786595474e-08
Mcm6 3.71097849088703 5.79770161868173e-10 5.71453786595474e-08
Mcm5 3.67199311455507 5.84741949669194e-10 5.71668450794476e-08
Suv39h1 1.80020610052763 5.91219392881389e-10 5.73339774145057e-08
Top2a 4.26182664618607 6.01018388658217e-10 5.74016494093989e-08
Kif11 3.49465507678085 6.06208427235765e-10 5.74016494093989e-08
Dlgap5 2.60134732505816 6.06237794178267e-10 5.74016494093989e-08
Bub1b 2.74609452595354 6.36112367278972e-10 5.97597751291378e-08
4930427A07Rik 2.26469433111992 6.48880841867181e-10 6.04867606469213e-08
Spc25 3.55142403280531 7.04742617368021e-10 6.45046698304474e-08
Depdc1a 2.42012913481749 7.06278945655971e-10 6.45046698304474e-08
Nuf2 4.00186014332115 7.17950171573264e-10 6.45046698304474e-08
Litaf 1.54101862222425 7.22228463028611e-10 6.45046698304474e-08
Serpina3n 3.89123871244948 7.23478810332418e-10 6.45046698304474e-08
Fga 1.77206132771322 7.24168850487351e-10 6.45046698304474e-08
4930547N16Rik 2.18849512325575 7.55955025661e-10 6.68408763498053e-08
F630043A04Rik 2.53701816668382 7.64336123509885e-10 6.70886268993165e-08
Esco2 3.61847698818854 7.92989585401965e-10 6.90992736554973e-08
Cep55 2.03915867065407 8.32894934446831e-10 7.17208144942907e-08
Cdca8 2.65903430002634 8.3750894962397e-10 7.17208144942907e-08
Cdc25b 1.62591476021424 8.40967554569229e-10 7.17208144942907e-08
2610002D18Rik 2.22479407508912 8.5438151991411e-10 7.23516744856843e-08
Aaas 2.3396421880601 8.64125714134977e-10 7.26651168704412e-08
4930579G24Rik 2.84383085271703 8.82612104786827e-10 7.37042400004278e-08
Gins2 2.19520263553587 9.09784662048125e-10 7.50741721013952e-08
Reep4 2.293093604529 9.11503461688457e-10 7.50741721013952e-08
Slc41a2 2.47575921789849 9.25237001854894e-10 7.56869044034361e-08
Plk4 2.28092282896274 9.8204378426026e-10 7.97910574711461e-08
Prim1 2.59573912447697 1.00512633710213e-09 8.11184174741822e-08
Topbp1 2.40499972078836 1.02852782806571e-09 8.24536475499345e-08
Gm12428 1.77526042028332 1.1002663203073e-09 8.76205463688433e-08
Hsd3b5 -5.55742812993174 1.13282542015212e-09 8.94838510172945e-08
Cdca2 2.74327242392229 1.14299262074348e-09 8.94838510172945e-08
Ces3b -2.66737250222204 1.14598861178074e-09 8.94838510172945e-08
Gm13773 -2.6535679730928 1.16790208724313e-09 9.06065974135399e-08
Cyp2d9 -1.60726745209888 1.18939995436481e-09 9.1674404923514e-08
Ect2 3.80847307079318 1.19691322852322e-09 9.1674404923514e-08
Trim59 1.85965038332976 1.20891042766139e-09 9.18098378558244e-08
Tmem176a 1.32003670375591 1.21395128640965e-09 9.18098378558244e-08
Tbl2 1.6941542355491 1.25246695303721e-09 9.41307194392025e-08
Syce2 1.49977196382701 1.26069719852905e-09 9.41607690205701e-08
Il13ra1 1.33133943049043 1.33588555148082e-09 9.91606404725736e-08
Troap 2.14721184215806 1.3501675466359e-09 9.96059187012068e-08
2610021K21Rik 1.24896459419817 1.38604411320459e-09 1.01629149154178e-07
Ywhah 1.83572036906624 1.40135201618084e-09 1.02128836330755e-07
Macrod1 -2.04608050127846 1.41366587661115e-09 1.02405615459332e-07
Apcs 3.45365597107549 1.43717320967573e-09 1.03485076924256e-07
Slc39a1 1.16037362900582 1.46846285021567e-09 1.05108724844306e-07
Serpinb8 1.90878189801458 1.53729422487309e-09 1.09138160011242e-07
Kif20b 2.60752600650651 1.54290953862047e-09 1.09138160011242e-07
C3 1.75422802087455 1.55222438878569e-09 1.0915496067338e-07
Pcna-ps2 2.00802378863336 1.59559982678929e-09 1.109161390008e-07
Rfc5 1.65903863507213 1.59571659435662e-09 1.109161390008e-07
H2afx 3.45609504203002 1.61813991173547e-09 1.11828347348386e-07
Smc2 3.29847697378459 1.63790447019421e-09 1.12547435737631e-07
Kif18b 2.42910745089521 1.68548795064772e-09 1.15159048900789e-07
Prr11 2.47335891878936 1.7011240777741e-09 1.15570717713184e-07
Cdca5 3.09355313381876 1.71659039669547e-09 1.15783970290472e-07
Ccne2 1.49698254498578 1.72352022303488e-09 1.15783970290472e-07
Cdc25c 2.26678120889022 1.79644439747175e-09 1.20012465997765e-07
Gm8399 2.25873420475317 1.8092089071168e-09 1.20197442586074e-07
Sucnr1 -3.54246193103031 1.84297597314482e-09 1.21768055368497e-07
Mup11 -2.14994193719813 1.87195696203583e-09 1.23007008024485e-07
Il18bp 2.18348802181374 1.90370050348161e-09 1.24413035621556e-07
Slfn9 2.5382973147359 1.94202603225536e-09 1.26231692096598e-07
Mms22l 1.60805895430587 1.96471624688734e-09 1.27019961660324e-07
Zwilch 2.63706197116796 1.97930842318873e-09 1.27279057694356e-07
Spc24 2.0622136817599 1.99006254638482e-09 1.27289904895093e-07
Rfc4 2.11954050055289 2.02127089693873e-09 1.28263299431282e-07
Ppap2c 1.80808603602664 2.02661346294748e-09 1.28263299431282e-07
Wdr62 1.55410002842259 2.08435296278793e-09 1.30835533763215e-07
Tmem48 2.23563469490639 2.08901642266422e-09 1.30835533763215e-07
Kifc5b 2.06657091884935 2.12601358468141e-09 1.32462763501523e-07
Ndc80 2.86964488113671 2.16039996644664e-09 1.33352352315485e-07
2810417H13Rik 1.87686814364394 2.16247057808894e-09 1.33352352315485e-07
Galns 1.42530574547699 2.21401373581905e-09 1.35834261087878e-07
Mup9 -2.07253184022226 2.26617970398681e-09 1.38328989545388e-07
Cpne8 1.60371136982775 2.31001102688412e-09 1.39263367196315e-07
Cyp2d12 -1.38533701435687 2.3140088459277e-09 1.39263367196315e-07
Tyms 2.07666316509634 2.31704121161981e-09 1.39263367196315e-07
BC046404 1.87818992238195 2.32781179263696e-09 1.39263367196315e-07
Smc4 3.21570211393714 2.45119249480264e-09 1.45223486946333e-07
Gm11223 4.2958249907985 2.45158984200463e-09 1.45223486946333e-07
Tcf19 2.98806243816482 2.5214828418487e-09 1.47869770822792e-07
Cenpe 2.56544877041778 2.52495691631429e-09 1.47869770822792e-07
Sgol2 2.34661167382006 2.53315366232808e-09 1.47869770822792e-07
Ncapg 2.51931349826237 2.56626169281557e-09 1.49078728773465e-07
Arhgap11a 3.12225652841128 2.58055225491596e-09 1.49188177237329e-07
Mid1 1.65695579455523 2.59568408045945e-09 1.49344981184329e-07
Dnajc9 2.23536294671661 2.65519462105504e-09 1.52041501515176e-07
Asf1b 2.42141058534887 2.70535372587482e-09 1.54179519211587e-07
Tinf2 1.71092371657654 2.75779220902283e-09 1.56426657139149e-07
Anapc5 1.03254374113451 2.85471550545282e-09 1.61164103066057e-07
Mastl 1.86025702201497 2.96268043188148e-09 1.66477720529789e-07
Mup18 -2.00401473855194 2.99319930034047e-09 1.6716042173219e-07
Mup16 -2.0670802571946 3.01283008420571e-09 1.6716042173219e-07
Ptpn1 1.34141857404792 3.01653318219419e-09 1.6716042173219e-07
Stmn1 4.5624120548024 3.04070456646634e-09 1.67726937668614e-07
Lrg1 2.65806265714202 3.08432117058696e-09 1.68946818044827e-07
Ncapg2 2.64393852671087 3.09640132989217e-09 1.68946818044827e-07
Mup10 -1.77565191706241 3.10496854785087e-09 1.68946818044827e-07
Pole 1.6488700675323 3.12776551673026e-09 1.69420632156223e-07
Kif4 2.70578620582959 3.18609783878883e-09 1.71806396912268e-07
BC030867 1.61995893365057 3.24019290118836e-09 1.7394339123567e-07
Hells 1.75242740104683 3.26757023410599e-09 1.74354159445488e-07
Acsl1 -1.75750617180037 3.28563072230117e-09 1.74354159445488e-07
Poc1a 2.41737158851933 3.29134255252606e-09 1.74354159445488e-07
5033411D12Rik -1.35834119178327 3.37735756257009e-09 1.76635384530098e-07
Spag5 2.32540493274783 3.38463956625059e-09 1.76635384530098e-07
Dnmt1 1.80500127371066 3.39237155290926e-09 1.76635384530098e-07
Icam1 2.42989161183533 3.39316206456987e-09 1.76635384530098e-07
Rad51 2.20858852627107 3.48443409985484e-09 1.80604827804976e-07
Ercc6l 2.07414344158678 3.51658185357635e-09 1.81488827421698e-07
Ccdc99 2.32149820699454 3.63400437035494e-09 1.86747446809907e-07
Cdc25a 1.46503370911998 3.66042742410862e-09 1.87304850105983e-07
Dtl 1.46223275617709 3.72310938722254e-09 1.89705043988776e-07
1700001C19Rik -1.76629403123801 3.77046195473514e-09 1.90691329745192e-07
Pole2 1.41109766060719 3.77418182780504e-09 1.90691329745192e-07
Tnfrsf1a 1.83637842257052 3.85713079487354e-09 1.94066936436629e-07
Mup-ps6 -1.41404326216476 4.04457053180964e-09 2.01946245387355e-07
Mup19 -2.08541502952873 4.05036765870395e-09 2.01946245387355e-07
Snx7 1.35099352278771 4.06411570758752e-09 2.01946245387355e-07
Arhgap19 2.11764752335183 4.1892747712124e-09 2.07308761826457e-07
Fn1 1.39980831155561 4.22474444721174e-09 2.08207180236562e-07
Gm13775 -3.2580723676409 4.2544479978033e-09 2.08815253769733e-07
Farp1 1.086166094247 4.31195084836926e-09 2.1077727216114e-07
Gm3756 2.12808904842555 4.55945786998911e-09 2.21337515714056e-07
Vars 1.81935159201328 4.56479866088032e-09 2.21337515714056e-07
Cat -1.47870867289619 4.6398119830643e-09 2.22799564480327e-07
Ildr2 1.45596838330159 4.64357651939973e-09 2.22799564480327e-07
Ghr -1.32673014765342 4.65053560786379e-09 2.22799564480327e-07
Uox -1.41797933421227 4.70407031823205e-09 2.24470022129922e-07
Mup8 -2.0972251403821 4.72783579585591e-09 2.24712353538211e-07
Bub3 1.47986563620027 4.87011115202732e-09 2.30563333083183e-07
Fen1 2.97558098724853 5.04046687441787e-09 2.37692604568137e-07
Tmem98 1.52900309487913 5.17644251446326e-09 2.43151254829768e-07
Gm5620 2.34186929210643 5.26732281019373e-09 2.4645741942638e-07
Traip 1.73783243138736 5.30303259397346e-09 2.47166538536941e-07
Serpina10 2.05132793460281 5.44475978342804e-09 2.52792418516302e-07
Stk17b 1.65080809644954 5.46934666302468e-09 2.52957283164892e-07
Ces1f -1.89074594968823 5.50153592496556e-09 2.53393181447288e-07
Slc37a1 2.11897606576109 5.52091588683489e-09 2.53393181447288e-07
2810408I11Rik 2.45703583326318 5.74735328980772e-09 2.62124002256649e-07
Melk 2.51483872876745 5.75473901004203e-09 2.62124002256649e-07
Kntc1 2.54206646785484 5.85256849314731e-09 2.65574098604137e-07
AI317395 -1.55124395787331 5.91973512465125e-09 2.67612085992223e-07
Fam54a 1.59541437201028 6.05782719458909e-09 2.72829108670164e-07
Mup13 -1.9934100468549 6.16232743614908e-09 2.76499953058555e-07
Ppl 2.03689632954015 6.18723208886751e-09 2.76585374976326e-07
Actg-ps1 1.92474982142851 6.47679811593752e-09 2.88167110429323e-07
Mup2 -2.02069371236591 6.49424423503921e-09 2.88167110429323e-07
Dsn1 1.98216032030497 6.58024032298692e-09 2.90486206294488e-07
